focal_class,cluster,n_scenes,pct_of_class,top_co_classes,silhouette,k
chair,1,1783,40.4,"table=1.00, monitor=0.04, box=0.03",0.69,10
chair,2,844,19.1,"box=0.04, monitor=0.02, picture=0.01",0.69,10
chair,3,174,3.9,"table=1.00, shelf=1.00, box=0.15",0.69,10
chair,4,194,4.4,"monitor=1.00, desk=0.99, table=0.11",0.69,10
chair,5,787,17.8,"desk=1.00, table=0.10, box=0.06",0.69,10
chair,6,147,3.3,"table=1.00, sofa=1.00, shelf=0.13",0.69,10
chair,7,132,3.0,"desk=1.00, shelf=1.00, monitor=0.42",0.69,10
chair,8,160,3.6,"cabinet=1.00, table=0.57, monitor=0.04",0.69,10
chair,9,124,2.8,"sofa=1.00, desk=0.15, shelf=0.10",0.69,10
chair,10,71,1.6,"shelf=1.00, box=0.11, cabinet=0.08",0.69,10
table,1,70,2.3,"shelf=1.00, box=0.27, sofa=0.11",0.798,10
table,2,1711,57.2,"chair=1.00, picture=0.01, door=0.01",0.798,10
table,3,415,13.9,"book=0.04, cabinet=0.03, picture=0.01",0.798,10
table,4,58,1.9,"paper=1.00, chair=0.76, book=0.07",0.798,10
table,5,145,4.9,"chair=1.00, sofa=1.00, shelf=0.14",0.798,10
table,6,177,5.9,"chair=1.00, shelf=1.00, box=0.15",0.798,10
table,7,120,4.0,"sofa=1.00, picture=0.07, lamp=0.07",0.798,10
table,8,82,2.7,"chair=1.00, cabinet=1.00, window=0.02",0.798,10
table,9,117,3.9,"box=1.00, chair=0.62, paper=0.15",0.798,10
table,10,94,3.1,"lamp=1.00, chair=0.73, picture=0.15",0.798,10
door,1,51,47.2,"chair=0.00, table=0.00, window=0.00",0.827,10
door,2,11,10.2,"chair=1.00, table=1.00, cabinet=0.09",0.827,10
door,3,13,12.0,"chair=1.00, cabinet=0.08, table=0.00",0.827,10
door,4,10,9.3,"box=1.00, window=0.10, chair=0.10",0.827,10
door,5,4,3.7,"cabinet=1.00, picture=0.50, shelf=0.25",0.827,10
door,6,4,3.7,"picture=1.00, shelf=0.25, chair=0.25",0.827,10
door,7,8,7.4,"shelf=1.00, chair=0.12, table=0.00",0.827,10
door,8,4,3.7,"cabinet=1.00, box=1.00, chair=0.00",0.827,10
door,9,1,0.9,"chair=1.00, shelf=1.00, cabinet=1.00",0.827,10
door,10,2,1.9,"table=1.00, chair=0.00, window=0.00",0.827,10
cabinet,1,127,22.6,"chair=1.00, box=0.06, book=0.03",0.683,10
cabinet,2,199,35.3,"picture=0.06, cup=0.03, bag=0.02",0.683,10
cabinet,3,92,16.3,"chair=1.00, table=1.00, box=0.04",0.683,10
cabinet,4,35,6.2,"box=1.00, bottle=0.14, shelf=0.11",0.683,10
cabinet,5,32,5.7,"table=1.00, box=0.25, shelf=0.16",0.683,10
cabinet,6,17,3.0,"chair=1.00, table=1.00, shelf=1.00",0.683,10
cabinet,7,9,1.6,"paper=1.00, counter=0.11, shelf=0.11",0.683,10
cabinet,8,16,2.8,"chair=1.00, shelf=1.00, window=0.06",0.683,10
cabinet,9,19,3.4,"counter=1.00, chair=0.32, shelf=0.16",0.683,10
cabinet,10,17,3.0,"shelf=1.00, door=0.06, bag=0.06",0.683,10
shelf,1,236,29.5,"picture=0.05, door=0.03, paper=0.01",0.738,10
shelf,2,153,19.1,"chair=1.00, paper=0.02, picture=0.02",0.738,10
shelf,3,47,5.9,"table=1.00, book=0.09, picture=0.04",0.738,10
shelf,4,169,21.2,"chair=1.00, table=1.00, cabinet=0.09",0.738,10
shelf,5,37,4.6,"book=1.00, chair=0.41, paper=0.05",0.738,10
shelf,6,16,2.0,"chair=1.00, cabinet=1.00, window=0.06",0.738,10
shelf,7,19,2.4,"table=1.00, box=1.00, book=0.21",0.738,10
shelf,8,29,3.6,"cabinet=1.00, box=0.14, table=0.14",0.738,10
shelf,9,37,4.6,"box=1.00, book=0.14, paper=0.03",0.738,10
shelf,10,56,7.0,"chair=1.00, box=1.00, table=0.50",0.738,10
desk,1,761,55.0,"chair=1.00, paper=0.02, window=0.00",0.828,10
desk,2,153,11.1,"chair=1.00, monitor=1.00, book=0.05",0.828,10
desk,3,57,4.1,"chair=1.00, box=1.00, paper=0.16",0.828,10
desk,4,165,11.9,"keyboard=0.08, monitor=0.07, paper=0.05",0.828,10
desk,5,67,4.8,"chair=1.00, keyboard=1.00, box=0.21",0.828,10
desk,6,81,5.9,"keyboard=1.00, monitor=1.00, chair=0.84",0.828,10
desk,7,29,2.1,"book=1.00, keyboard=0.31, paper=0.17",0.828,10
desk,8,21,1.5,"box=1.00, paper=0.14, keyboard=0.10",0.828,10
desk,9,25,1.8,"chair=1.00, box=1.00, monitor=1.00",0.828,10
desk,10,25,1.8,"chair=1.00, book=1.00, paper=0.16",0.828,10
box,1,16,3.2,"chair=1.00, table=1.00, shelf=1.00",0.447,10
box,2,45,8.9,"chair=1.00, shelf=0.20, cabinet=0.07",0.447,10
box,3,43,8.5,"table=1.00, book=0.14, paper=0.12",0.447,10
box,4,85,16.9,"desk=1.00, chair=0.86, table=0.14",0.447,10
box,5,114,22.7,"door=0.08, bottle=0.05, book=0.04",0.447,10
box,6,18,3.6,"chair=1.00, table=1.00, book=1.00",0.447,10
box,7,41,8.2,"cabinet=1.00, table=0.17, bottle=0.15",0.447,10
box,8,61,12.1,"chair=1.00, table=1.00, paper=0.11",0.447,10
box,9,53,10.5,"shelf=1.00, table=0.36, book=0.17",0.447,10
box,10,27,5.4,"shelf=1.00, desk=1.00, chair=0.89",0.447,10
picture,1,11,6.1,"box=1.00, chair=0.73, shelf=0.27",0.277,10
picture,2,40,22.2,"shelf=0.17, cabinet=0.15, door=0.12",0.277,10
picture,3,12,6.7,"pillow=1.00, lamp=1.00, sofa=0.75",0.277,10
picture,4,21,11.7,"pillow=1.00, bed=1.00, lamp=0.67",0.277,10
picture,5,11,6.1,"bed=1.00, lamp=1.00, table=0.18",0.277,10
picture,6,16,8.9,"sofa=1.00, pillow=0.69, table=0.56",0.277,10
picture,7,34,18.9,"table=1.00, chair=0.76, lamp=0.18",0.277,10
picture,8,20,11.1,"chair=1.00, lamp=0.25, bag=0.15",0.277,10
picture,9,6,3.3,"chair=1.00, pillow=1.00, sofa=1.00",0.277,10
picture,10,9,5.0,"paper=1.00, lamp=0.33, table=0.22",0.277,10
book,1,29,12.7,"chair=1.00, table=1.00, lamp=0.31",0.242,10
book,2,17,7.4,"desk=1.00, shelf=1.00, chair=0.94",0.242,10
book,3,27,11.8,"desk=1.00, paper=0.19, bottle=0.15",0.242,10
book,4,37,16.2,"chair=1.00, desk=1.00, monitor=0.19",0.242,10
book,5,43,18.8,"shelf=0.37, cabinet=0.14, box=0.12",0.242,10
book,6,17,7.4,"table=1.00, box=1.00, chair=0.59",0.242,10
book,7,10,4.4,"shelf=1.00, bag=0.80, table=0.70",0.242,10
book,8,15,6.6,"shelf=1.00, box=1.00, table=0.67",0.242,10
book,9,15,6.6,"chair=1.00, shelf=0.20, bag=0.20",0.242,10
book,10,19,8.3,"table=1.00, paper=0.16, cabinet=0.11",0.242,10
paper,1,54,26.2,"chair=1.00, table=0.94, shelf=0.06",0.382,9
paper,2,44,21.4,"box=0.11, picture=0.09, shelf=0.07",0.382,9
paper,3,9,4.4,"table=1.00, desk=1.00, chair=0.89",0.382,9
paper,4,11,5.3,"keyboard=1.00, chair=0.91, monitor=0.91",0.382,9
paper,5,24,11.7,"table=1.00, box=0.21, book=0.17",0.382,9
paper,6,33,16.0,"desk=1.00, chair=0.58, box=0.27",0.382,9
paper,7,11,5.3,"chair=1.00, table=1.00, box=1.00",0.382,9
paper,8,13,6.3,"cabinet=1.00, box=0.23, keyboard=0.15",0.382,9
paper,9,7,3.4,"book=1.00, chair=0.86, desk=0.86",0.382,9
lamp,1,99,17.8,"picture=0.10, book=0.07, curtain=0.06",0.63,10
lamp,2,137,24.6,"pillow=1.00, bed=0.97, curtain=0.04",0.63,10
lamp,3,67,12.1,"bed=1.00, curtain=0.04, book=0.03",0.63,10
lamp,4,78,14.0,"table=1.00, book=0.12, curtain=0.12",0.63,10
lamp,5,43,7.7,"sofa=1.00, pillow=1.00, picture=0.21",0.63,10
lamp,6,42,7.6,"sofa=1.00, table=0.33, book=0.05",0.63,10
lamp,7,22,4.0,"mirror=1.00, pillow=0.95, bed=0.95",0.63,10
lamp,8,18,3.2,"table=1.00, pillow=1.00, sofa=0.94",0.63,10
lamp,9,26,4.7,"table=1.00, bed=1.00, pillow=0.54",0.63,10
lamp,10,24,4.3,"picture=1.00, bed=0.92, pillow=0.62",0.63,10
sofa,1,109,13.7,"chair=1.00, table=1.00, picture=0.03",0.836,10
sofa,2,266,33.5,"picture=0.01, window=0.00, table=0.00",0.836,10
sofa,3,104,13.1,"table=1.00, picture=0.04, lamp=0.03",0.836,10
sofa,4,95,11.9,"chair=1.00, window=0.02, picture=0.02",0.836,10
sofa,5,65,8.2,"pillow=1.00, picture=0.09, table=0.00",0.836,10
sofa,6,37,4.7,"chair=1.00, pillow=1.00, table=0.49",0.836,10
sofa,7,49,6.2,"lamp=1.00, pillow=1.00, picture=0.18",0.836,10
sofa,8,22,2.8,"chair=1.00, table=1.00, lamp=1.00",0.836,10
sofa,9,29,3.6,"lamp=1.00, chair=0.34, picture=0.03",0.836,10
sofa,10,19,2.4,"table=1.00, pillow=1.00, picture=0.26",0.836,10
pillow,1,155,26.8,"bed=1.00, curtain=0.06, picture=0.05",0.778,10
pillow,2,95,16.4,"sofa=1.00, book=0.04, bed=0.03",0.778,10
pillow,3,160,27.7,"lamp=1.00, bed=0.94, curtain=0.05",0.778,10
pillow,4,15,2.6,"picture=1.00, sofa=0.87, curtain=0.13",0.778,10
pillow,5,48,8.3,"mirror=0.02, curtain=0.02, picture=0.00",0.778,10
pillow,6,41,7.1,"lamp=1.00, sofa=1.00, mirror=0.20",0.778,10
pillow,7,20,3.5,"lamp=1.00, mirror=1.00, bed=0.95",0.778,10
pillow,8,17,2.9,"picture=1.00, lamp=1.00, sofa=0.82",0.778,10
pillow,9,14,2.4,"picture=1.00, lamp=1.00, bed=1.00",0.778,10
pillow,10,13,2.2,"sofa=1.00, curtain=1.00, book=0.31",0.778,10
bed,1,393,46.3,"mirror=0.01, picture=0.00, lamp=0.00",0.943,10
bed,2,145,17.1,"lamp=1.00, pillow=1.00, picture=0.00",0.943,10
bed,3,141,16.6,"pillow=1.00, picture=0.00, lamp=0.00",0.943,10
bed,4,78,9.2,"lamp=1.00, curtain=0.05, mirror=0.04",0.943,10
bed,5,19,2.2,"curtain=1.00, picture=0.05, lamp=0.00",0.943,10
bed,6,14,1.7,"picture=1.00, lamp=0.79, curtain=0.07",0.943,10
bed,7,7,0.8,"lamp=1.00, curtain=1.00, pillow=1.00",0.943,10
bed,8,19,2.2,"lamp=1.00, mirror=1.00, pillow=1.00",0.943,10
bed,9,10,1.2,"pillow=1.00, curtain=1.00, picture=0.00",0.943,10
bed,10,22,2.6,"picture=1.00, pillow=1.00, lamp=0.64",0.943,10
monitor,1,169,38.4,"chair=1.00, desk=1.00, paper=0.01",0.895,10
monitor,2,60,13.6,"chair=1.00, desk=1.00, keyboard=1.00",0.895,10
monitor,3,90,20.5,"chair=1.00, paper=0.03, desk=0.00",0.895,10
monitor,4,12,2.7,"book=1.00, keyboard=1.00, chair=0.92",0.895,10
monitor,5,8,1.8,"keyboard=1.00, paper=0.12, book=0.12",0.895,10
monitor,6,37,8.4,"book=0.05, chair=0.00, desk=0.00",0.895,10
monitor,7,25,5.7,"chair=1.00, keyboard=1.00, paper=0.08",0.895,10
monitor,8,11,2.5,"desk=1.00, chair=0.00, book=0.00",0.895,10
monitor,9,13,3.0,"desk=1.00, keyboard=1.00, paper=0.08",0.895,10
monitor,10,15,3.4,"book=1.00, chair=0.87, desk=0.80",0.895,10
curtain,1,15,8.2,"pillow=1.00, lamp=0.00, bed=0.00",1.0,8
curtain,2,105,57.7,"lamp=0.00, pillow=0.00, bed=0.00",1.0,8
curtain,3,10,5.5,"lamp=1.00, pillow=1.00, bed=1.00",1.0,8
curtain,4,19,10.4,"bed=1.00, lamp=0.00, pillow=0.00",1.0,8
curtain,5,15,8.2,"lamp=1.00, pillow=0.00, bed=0.00",1.0,8
curtain,6,10,5.5,"pillow=1.00, bed=1.00, lamp=0.00",1.0,8
curtain,7,5,2.7,"lamp=1.00, bed=1.00, pillow=0.00",1.0,8
curtain,8,3,1.6,"lamp=1.00, pillow=1.00, bed=0.00",1.0,8
bottle,1,96,60.4,"counter=0.01, box=0.00, cabinet=0.00",0.865,10
bottle,2,11,6.9,"book=1.00, cup=0.09, cabinet=0.00",0.865,10
bottle,3,6,3.8,"box=1.00, book=1.00, cabinet=0.17",0.865,10
bottle,4,16,10.1,"box=1.00, bag=0.06, paper=0.06",0.865,10
bottle,5,8,5.0,"paper=1.00, cup=0.12, cabinet=0.00",0.865,10
bottle,6,6,3.8,"cabinet=1.00, box=0.00, book=0.00",0.865,10
bottle,7,5,3.1,"bag=1.00, book=0.40, paper=0.20",0.865,10
bottle,8,2,1.3,"box=1.00, book=1.00, cup=1.00",0.865,10
bottle,9,6,3.8,"cabinet=1.00, box=1.00, book=0.00",0.865,10
bottle,10,3,1.9,"cup=1.00, box=0.00, cabinet=0.00",0.865,10
bag,1,9,6.1,"cabinet=1.00, box=0.00, picture=0.00",0.919,10
bag,2,82,55.8,"cabinet=0.00, box=0.00, picture=0.00",0.919,10
bag,3,21,14.3,"box=1.00, bottle=0.05, paper=0.05",0.919,10
bag,4,16,10.9,"book=1.00, bottle=0.06, cabinet=0.00",0.919,10
bag,5,3,2.0,"bottle=1.00, box=0.00, cabinet=0.00",0.919,10
bag,6,6,4.1,"picture=1.00, paper=0.17, cabinet=0.00",0.919,10
bag,7,2,1.4,"picture=1.00, book=1.00, cabinet=0.00",0.919,10
bag,8,3,2.0,"cabinet=1.00, book=1.00, box=0.00",0.919,10
bag,9,3,2.0,"paper=1.00, book=0.67, bottle=0.33",0.919,10
bag,10,2,1.4,"box=1.00, book=1.00, cabinet=0.00",0.919,10
mirror,1,95,66.0,"lamp=0.00, pillow=0.00, bed=0.00",1.0,7
mirror,2,20,13.9,"lamp=1.00, pillow=1.00, bed=1.00",1.0,7
mirror,3,10,6.9,"lamp=1.00, pillow=0.00, bed=0.00",1.0,7
mirror,4,9,6.2,"lamp=1.00, pillow=1.00, bed=0.00",1.0,7
mirror,5,5,3.5,"bed=1.00, lamp=0.00, pillow=0.00",1.0,7
mirror,6,3,2.1,"lamp=1.00, bed=1.00, pillow=0.00",1.0,7
mirror,7,2,1.4,"pillow=1.00, lamp=0.00, bed=0.00",1.0,7
counter,1,174,87.0,"cabinet=0.00, bottle=0.00, bag=0.00",0.995,4
counter,2,23,11.5,"cabinet=1.00, bottle=0.00, bag=0.00",0.995,4
counter,3,1,0.5,"bag=1.00, cabinet=0.00, bottle=0.00",0.995,4
counter,4,2,1.0,"bottle=1.00, cabinet=0.00, bag=0.00",0.995,4
keyboard,1,84,28.0,"desk=0.00, paper=0.00, monitor=0.00",1.0,8
keyboard,2,75,25.0,"desk=1.00, monitor=1.00, paper=0.00",1.0,8
keyboard,3,85,28.3,"desk=1.00, paper=0.00, monitor=0.00",1.0,8
keyboard,4,32,10.7,"monitor=1.00, desk=0.00, paper=0.00",1.0,8
keyboard,5,7,2.3,"desk=1.00, paper=1.00, monitor=1.00",1.0,8
keyboard,6,7,2.3,"paper=1.00, desk=0.00, monitor=0.00",1.0,8
keyboard,7,6,2.0,"desk=1.00, paper=1.00, monitor=0.00",1.0,8
keyboard,8,4,1.3,"paper=1.00, monitor=1.00, desk=0.00",1.0,8
cup,1,83,77.6,"cabinet=0.00, paper=0.00, bottle=0.00",1.0,5
cup,2,10,9.3,"paper=1.00, cabinet=0.00, bottle=0.00",1.0,5
cup,3,6,5.6,"bottle=1.00, cabinet=0.00, paper=0.00",1.0,5
cup,4,6,5.6,"cabinet=1.00, paper=0.00, bottle=0.00",1.0,5
cup,5,2,1.9,"paper=1.00, bottle=1.00, cabinet=0.00",1.0,5
